"Submitted At","What's your primary role?","What environments do you use?","What agents are you currently using?","What destinations are you currently using?","What are the biggest pain points of your current agent setup?","If you consider adopting OpenTelemetry, why is that so?","If you are already adopting OpenTelemetry, what are you using?","If you started adopting OpenTelemetry, what are some reasons that slow you down or may cause you stop investing in it?",Score,PDFs,"Total Amount","Customer ID","IP Address",ID,"UTM Source","UTM Medium","UTM Campaign","UTM Term","UTM Content","Device Type"
"2022-08-01 13:57:31","Support engineer",AWS,"CloudWatch Agent, X-Ray Agent","CloudWatch, Prometheus","Too many agents (one for logs, one for metrics, one for traces, etc.), Lack of correlation",Flexibility,"I use a vendor distro (AWS, etc.)","Lack of documentation and/or tutorials available, It's hard to get help or find answers (on Slack, StackOverflow), I don't know where or how to start",,,0," -",103.250.165.49,62e7dbcb3c62d02cf9242c95,,,,,,mobile
"2022-08-01 15:50:58","SRE/devops role","Google Cloud","Fluentd, OpenTelemetry collector, Vector","Prometheus, Datadog, Splunk, Cortex/Thanos (or managed service)","Too many agents (one for logs, one for metrics, one for traces, etc.), Lack of correlation",,"I build my own distro and or collector","Lack of documentation and/or tutorials available, The software (collector, SDKs, etc.) are not stable enough",,,0," -",104.148.211.40,62e7f662e327953be70a4a2c,,,,,,desktop
"2022-08-01 16:34:41",Manager,"AWS, Azure, Google Cloud, On-premises","Fluent Bit, Fluentd, CloudWatch Agent","Elasticsearch, OpenSearch, Prometheus, CloudWatch, Azure Monitoring","Too many agents (one for logs, one for metrics, one for traces, etc.), It's a vendor-specific solution, Lack of correlation","Reduce vendor lock-in","Fluent bit integrations ","The whole thing is complex and over-engineered, What I need (like logs) is not yet fully available, The software (collector, SDKs, etc.) are not stable enough",,,0," -",136.52.36.229,62e800a14f60ea7e303885d1,,,,,,mobile
"2022-08-01 17:19:30","SRE/devops role",AWS,"CloudWatch Agent, Datadog agent","CloudWatch, Elasticsearch, Datadog, Honeycomb","Too many agents (one for logs, one for metrics, one for traces, etc.)","Because it's an industry standard","Using instrumentation libraries","The software (collector, SDKs, etc.) are not stable enough",,,0," -",172.225.196.120,62e80b222a2cf95be4225444,,,,,,mobile
"2022-08-01 20:48:29",Developer,On-premises,in-house,in-house,"It's a vendor-specific solution, Lack of correlation","To reuse OSS SDK and instrumentation implementations",,"1) Unclear ROI vs. existing instrumentation, 2) data model mismatch with in-house telemetry platforms",,,0," -",163.114.130.3,62e83c1dcaccb85b8e352312,o11y.news,email,,,,desktop
"2022-08-01 21:06:30","Manager, Architect","Azure, AWS, On-premises","Fluentd, Fluent Bit, Beats, CloudWatch Agent, Datadog","Splunk, CloudWatch, Elasticsearch, Prometheus, Datadog","It's a vendor-specific solution, Tight coupling between source and destination, lack of stream processing that we will get when we move to OTEL","Reduce vendor lock-in",,"What I need (like logs) is not yet fully available",,,0," -",192.223.136.14,62e84056d2552e3a663fa054,o11y.news,email,,,,desktop
"2022-08-01 21:09:12",Architect,AWS,"Fluentd, Fluent Bit, Logstash, OpenTelemetry collector","CloudWatch, Splunk, OpenSearch, Elasticsearch, Prometheus, Amazon Managed Prometheus","Lack of correlation",Flexibility,"I build my own distro and or collector","What I need (like logs) is not yet fully available",,,0," -",24.203.216.55,62e840f862da2b69da446472,o11y.news,email,,,,desktop
"2022-08-01 21:43:57","SRE/devops role",AWS,"OpenTelemetry collector",Datadog,"It's a vendor-specific solution","Because it's an industry standard","I use the upstream distro and collector","What I need (like logs) is not yet fully available",,,0," -",223.38.33.31,62e8491d02c9512b60672dfe,,,,,,mobile
"2022-08-02 00:49:34",Architect,AWS,"OpenTelemetry collector",Prometheus,"Lack of correlation","Reduce vendor lock-in","I use a vendor distro (AWS, etc.)","Language bindings.",,,0," -",171.76.86.44,62e8749ecde93c205f0415e6,,,,,,desktop
"2022-08-02 03:09:55",Manager,AWS,"OpenTelemetry collector",Elasticsearch,"I have none","Because it's an industry standard","I build my own distro and or collector",,,,0," -",141.226.11.199,62e8958361b487087d394197,o11y.news,email,,,,desktop
